run_id,gain,psf_sigma_x,psf_sigma_y,psf_theta,enf,optical_bg_lipid,lipid_brightness,spot_density
repeat_033,17.565481431178227,1.9268732737470664,2.5993903617244793,37.17512187970741,2.031684751759786,2.1340894982285654,16682.67565448387,532.7653597725159
repeat_034,13.569930789232648,1.847114261346397,2.271310259506633,0.7596861324574826,2.2750908231852076,4.228978363202963,16064.135553236414,501.7023094472299
repeat_035,34.51380973229126,1.9704305499642998,1.9159438725276856,15.964344290417642,1.2060335868935217,1.2774195972305808,13188.965028465691,671.3829967889336
repeat_036,22.117660457321346,2.3956538533725107,2.0314153854464796,-37.19961134086,2.163214342290479,1.9026817144499732,17402.853086981726,441.6194121124124
repeat_037,22.51142752611998,1.9096646475237424,1.924968435799442,7.479271843552166,2.1826097716641306,1.7175012274616013,13034.592360015211,638.8463300790858
repeat_038,34.675000323949796,2.4234936035018246,1.9862480199251509,31.994199339346913,1.6015158808877896,1.1111858377544004,15829.078836084322,556.1919050393674
repeat_039,18.728133073817133,1.7907722010038774,2.2665259436540786,-37.762048987728704,2.4403806151801137,2.156434583912995,15176.61610479567,597.5850020394986
repeat_040,39.36112871831507,1.8502277766493886,2.731416349110883,22.132768852650166,1.65778855145191,1.02622944599663,17114.472786498285,534.5571982910955
repeat_041,26.430782320200716,1.7321120597208952,2.305313505707155,-32.16315589859491,1.3246876974529551,1.3093411999121545,12810.862777319708,701.7256714342915
repeat_042,16.661849094420536,1.9085229329903861,1.9671681669930985,18.440987554212953,1.7424704922995544,1.9226752853115852,11133.584226503992,787.5754934041544
repeat_043,27.62475924225759,2.079217478449208,2.1189258581898858,10.23385828819748,1.7499725186672908,1.4240146111727034,14497.259716419458,578.1828738655497
repeat_044,18.64141606949146,1.815557778397495,2.2094171824145934,-18.313054942745815,2.065885121457795,1.918032107587933,11668.072458991666,729.2508479933762
repeat_045,27.491985359518587,2.281943917329379,1.9071538492302171,-42.569157154108744,1.5271628854155552,1.0523473536596728,13244.619605788925,719.6841541946555
repeat_046,31.25485626286413,2.2611959145894422,1.8682347788302054,-39.073286171637676,2.0368494684023712,1.3906938880016795,14329.329883871313,602.5571309379422
repeat_047,18.903635806515762,2.1956801679625317,1.9725622475134412,-27.862833198247955,2.128061388713299,2.030771331780241,16160.988076087982,553.8160123569008
repeat_048,12.730107401606869,2.037500477521653,2.0914047126216517,30.58206961409715,2.340006252339935,2.4824866620830703,14764.188076552258,598.1825778374728
