run_id,status,lipid_brightness,psf_sigma_x,psf_sigma_y,psf_theta,gain,enf,optical_bg_lipid,spot_density,training_discrepancy,validation_discrepancy,duration_sec,pid
repeat_033,ok,16682.67565448387,1.9268732737470664,2.5993903617244793,37.17512187970741,17.565481431178227,2.031684751759786,2.1340894982285654,532.7653597725159,0.10370183423000377,0.17891213543480403,,
repeat_034,ok,16064.135553236414,1.847114261346397,2.271310259506633,0.7596861324574826,13.569930789232648,2.2750908231852076,4.228978363202963,501.7023094472299,0.20038649253839416,0.2057125453022946,,
repeat_035,ok,13188.965028465691,1.9704305499642998,1.9159438725276856,15.964344290417642,34.51380973229126,1.2060335868935217,1.2774195972305808,671.3829967889336,0.1406780510773368,0.2705754159655489,,
repeat_036,ok,17402.853086981726,2.3956538533725107,2.0314153854464796,-37.19961134086,22.117660457321346,2.163214342290479,1.9026817144499732,441.6194121124124,0.15692071718905087,0.28569830838896826,,
repeat_037,ok,13034.592360015211,1.9096646475237424,1.924968435799442,7.479271843552166,22.51142752611998,2.1826097716641306,1.7175012274616013,638.8463300790858,0.13528189914091238,0.19213616933645442,,
repeat_038,ok,15829.078836084322,2.4234936035018246,1.9862480199251509,31.994199339346913,34.675000323949796,1.6015158808877896,1.1111858377544004,556.1919050393674,0.1197714464835073,0.15352987076957017,,
repeat_039,ok,15176.61610479567,1.7907722010038774,2.2665259436540786,-37.762048987728704,18.728133073817133,2.4403806151801137,2.156434583912995,597.5850020394986,0.1414958230952648,0.2348672739358153,,
repeat_040,ok,17114.472786498285,1.8502277766493886,2.731416349110883,22.132768852650166,39.36112871831507,1.65778855145191,1.02622944599663,534.5571982910955,0.158399582812067,0.21747201572995017,,
repeat_041,ok,12810.862777319708,1.7321120597208952,2.305313505707155,-32.16315589859491,26.430782320200716,1.3246876974529551,1.3093411999121545,701.7256714342915,0.0837394034584833,0.30492224101333226,,
repeat_042,ok,11133.584226503992,1.9085229329903861,1.9671681669930985,18.440987554212953,16.661849094420536,1.7424704922995544,1.9226752853115852,787.5754934041544,0.08961280162791531,0.29776065137141017,,
repeat_043,ok,14497.259716419458,2.079217478449208,2.1189258581898858,10.23385828819748,27.62475924225759,1.7499725186672908,1.4240146111727034,578.1828738655497,0.11659185731265932,0.2280581682296298,,
repeat_044,ok,11668.072458991666,1.815557778397495,2.2094171824145934,-18.313054942745815,18.64141606949146,2.065885121457795,1.918032107587933,729.2508479933762,0.12406160005661487,0.14169694256301707,,
repeat_045,ok,13244.619605788925,2.281943917329379,1.9071538492302171,-42.569157154108744,27.491985359518587,1.5271628854155552,1.0523473536596728,719.6841541946555,0.15226592055257154,0.21431931969634493,,
repeat_046,ok,14329.329883871313,2.2611959145894422,1.8682347788302054,-39.073286171637676,31.25485626286413,2.0368494684023712,1.3906938880016795,602.5571309379422,0.13695389643086905,0.21425119368717563,,
repeat_047,ok,16160.988076087982,2.1956801679625317,1.9725622475134412,-27.862833198247955,18.903635806515762,2.128061388713299,2.030771331780241,553.8160123569008,0.1424827181319135,0.168581606316115,,
repeat_048,ok,14764.188076552258,2.037500477521653,2.0914047126216517,30.58206961409715,12.730107401606869,2.340006252339935,2.4824866620830703,598.1825778374728,0.15538010163207297,0.2639046087047172,,
repeat_049,ok,11952.540390443677,1.7317028933672234,1.8811427025003853,-36.98148636897943,19.513929739469596,1.7289148892711583,1.959806546320257,779.415592796819,0.1865087840075088,0.2667583567873538,,
repeat_050,ok,14345.908531130914,2.3256325505045705,1.828577397426284,23.107080662241643,30.639492571821922,1.266202006426236,1.3240615703685876,596.5206450007427,0.10731059839087802,0.09669324239899693,,
repeat_051,ok,14670.597874784778,1.7281617791439825,2.586129990913672,3.938122643186178,30.767534775008745,1.787264577352323,1.2743634420949195,563.3168740648402,0.169487108623349,0.25902541093012893,,
repeat_052,ok,14870.573419724587,1.7036701138612613,2.6493634712909158,-2.314241812195574,14.955798927735152,2.454580559451145,2.5420057092252883,604.4723919989628,0.08501979210345142,0.29100001593274627,,
